id,title,movie_or_album,year,categories,mood,energy,best_for,language,source_type
song_0131,Pyaar Do Pyaar Lo,Janbaaz,1986,80s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0132,Har Kisi Ko Nahi Milta,Jaanbaaz,1986,80s;Romantic;Sad,Romantic,Low,Night,Hindi,curated_catalog
song_0133,Saagar Kinare Dil Yeh Pukare,Saagar,1985,80s;Travel;Romantic,Romantic,Medium,Evening,Hindi,curated_catalog
song_0134,O Maria,Saagar,1985,80s;Dance,Party,High,Day,Hindi,curated_catalog
song_0135,Chehra Hai Ya Chand Khila Hai,Saagar,1985,80s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0136,Keh Doon Tumhe,Deewaar,1975,Evergreen;Romantic,Romantic,Medium,Evening,Hindi,curated_catalog
song_0137,Meri Bheegi Bheegi Si,Anamika,1973,Evergreen;Sad,Sad,Low,Night,Hindi,curated_catalog
song_0138,Kuchh To Log Kahenge,Amar Prem,1972,Evergreen;Reflective,Reflective,Low,Night,Hindi,curated_catalog
song_0139,Yeh Kya Hua,Amar Prem,1972,Evergreen;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0140,Raat Kali Ek Khwab Mein Aayi,Buddha Mil Gaya,1971,Evergreen;Romantic,Romantic,Medium,Night,Hindi,curated_catalog
song_0141,O Hansini,Zehreela Insaan,1974,Evergreen;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0142,Jab Koi Baat Bigad Jaye,Jurm,1990,90s;Romantic;Evergreen,Romantic,Low,Night,Hindi,curated_catalog
song_0143,Kaho Naa Pyaar Hai,Kaho Naa... Pyaar Hai,2000,2000s;Romantic;Evergreen,Romantic,Medium,Any,Hindi,curated_catalog
song_0144,Na Tum Jaano Na Hum,Kaho Naa... Pyaar Hai,2000,2000s;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0145,Pyaar Ki Kashti Mein,Kaho Naa... Pyaar Hai,2000,2000s;Romantic;Travel,Happy,Medium,Day,Hindi,curated_catalog
song_0146,Ek Pal Ka Jeena,Kaho Naa... Pyaar Hai,2000,2000s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0147,Aankhon Mein Teri,Om Shanti Om,2007,2000s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0148,Ajab Si,Om Shanti Om,2007,2000s;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0149,Main Agar Kahoon,Om Shanti Om,2007,2000s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0150,Dard-E-Disco,Om Shanti Om,2007,2000s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0151,Deewangi Deewangi,Om Shanti Om,2007,2000s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0152,Tum Se Hi,Jab We Met,2007,2000s;Romantic;Travel,Romantic,Medium,Any,Hindi,curated_catalog
song_0153,Mauja Hi Mauja,Jab We Met,2007,2000s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0154,Aao Milo Chalo,Jab We Met,2007,2000s;Travel;Highway,Travel,High,Day,Hindi,curated_catalog
song_0155,Yeh Ishq Hai,Jab We Met,2007,2000s;Dance;Travel,Happy,High,Day,Hindi,curated_catalog
song_0156,Hum Jo Chalne Lage,Jab We Met,2007,2000s;Travel,Travel,Medium,Day,Hindi,curated_catalog
song_0157,Zara Zara,Rehnaa Hai Terre Dil Mein,2001,2000s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0158,Sach Keh Raha Hai Deewana,Rehnaa Hai Terre Dil Mein,2001,2000s;Sad,Sad,Low,Night,Hindi,curated_catalog
song_0159,Bolo Bolo,Rehnaa Hai Terre Dil Mein,2001,2000s;Romantic,Romantic,Medium,Any,Hindi,curated_catalog
song_0160,Dil Chahta Hai,Dil Chahta Hai,2001,2000s;Travel;Highway,Travel,High,Day,Hindi,curated_catalog
song_0161,Tanhayee,Dil Chahta Hai,2001,2000s;Sad,Sad,Low,Night,Hindi,curated_catalog
song_0162,Jaane Kyun,Dostana,2008,2000s;Romantic,Happy,Medium,Day,Hindi,curated_catalog
song_0163,Desi Girl,Dostana,2008,2000s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0164,Khabar Nahi,Dostana,2008,2000s;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0165,Maa Da Laadla,Dostana,2008,2000s;Fun,Fun,High,Any,Hindi,curated_catalog
song_0166,Kya Mujhe Pyaar Hai,Woh Lamhe,2006,2000s;Travel;Romantic,Romantic,High,Day,Hindi,curated_catalog
song_0167,Woh Lamhe Woh Baatein,Zeher,2005,2000s;Sad;Romantic,Sad,Low,Night,Hindi,curated_catalog
song_0168,Agar Tum Mil Jao,Zeher,2005,2000s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0169,To Phir Aao,Awarapan,2007,2000s;Sad,Sad,Low,Night,Hindi,curated_catalog
song_0170,Tera Mera Rishta,Awarapan,2007,2000s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0171,Maahi,Raaz: The Mystery Continues,2009,2000s;Sad;Romantic,Sad,Low,Night,Hindi,curated_catalog
song_0172,Soniyo,Raaz: The Mystery Continues,2009,2000s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0173,Tu Hi Meri Shab Hai,Gangster,2006,2000s;Romantic;Night,Romantic,Low,Night,Hindi,curated_catalog
song_0174,Ya Ali,Gangster,2006,2000s;Sad;Night,Reflective,Low,Night,Hindi,curated_catalog
song_0175,Bheegi Bheegi,Gangster,2006,2000s;Rain;Sad,Sad,Low,Rainy,Hindi,curated_catalog
song_0176,Alvida,Life in a... Metro,2007,2000s;Sad,Sad,Low,Night,Hindi,curated_catalog
song_0177,O Meri Jaan,Life in a... Metro,2007,2000s;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0178,In Dino,Life in a... Metro,2007,2000s;Travel;Romantic,Reflective,Medium,Any,Hindi,curated_catalog
song_0179,Kaho Na Kaho,Murder,2004,2000s;Romantic,Romantic,Medium,Night,Hindi,curated_catalog
song_0180,Bheege Honth Tere,Murder,2004,2000s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0181,Jashn-E-Bahaara,Jodhaa Akbar,2008,2000s;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0182,Kehne Ko Jashn-E-Bahaara,Jodhaa Akbar,2008,2000s;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0183,In Lamhon Ke Daaman Mein,Jodhaa Akbar,2008,2000s;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0184,Khuda Jaane,Bachna Ae Haseeno,2008,2000s;Romantic;Travel,Romantic,Medium,Evening,Hindi,curated_catalog
song_0185,Lucky Boy,Bachna Ae Haseeno,2008,2000s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0186,Aahista Aahista,Bachna Ae Haseeno,2008,2000s;Romantic,Romantic,Low,Night,Hindi,curated_catalog
song_0187,Pehli Nazar Mein,Race,2008,2000s;Romantic,Romantic,Medium,Any,Hindi,curated_catalog
song_0188,Allah Duhai Hai,Race,2008,2000s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0189,Mujhko Yaad Sataye Teri,Phir Hera Pheri,2006,2000s;Sad,Sad,Low,Night,Hindi,curated_catalog
song_0190,Aankh Marey,Simmba,2018,2010s;DJ;Dance;Fun,Party,High,Any,Hindi,curated_catalog
song_0191,Tera Yaar Hoon Main,Sonu Ke Titu Ki Sweety,2018,2010s;Friendship;Emotional,Emotional,Medium,Any,Hindi,curated_catalog
song_0192,Dil Chori,Sonu Ke Titu Ki Sweety,2018,2010s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0193,Bom Diggy Diggy,Sonu Ke Titu Ki Sweety,2018,2010s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0194,Chhote Chhote Peg,Sonu Ke Titu Ki Sweety,2018,2010s;DJ;Dance,Party,High,Night,Hindi,curated_catalog
song_0195,Kaala Chashma,Baar Baar Dekho,2016,2010s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0196,Sau Aasmaan,Baar Baar Dekho,2016,2010s;Romantic;Travel,Happy,Medium,Day,Hindi,curated_catalog
song_0197,Kho Gaye Hum Kahan,Baar Baar Dekho,2016,2010s;Sad;Romantic,Reflective,Low,Night,Hindi,curated_catalog
song_0198,Kar Gayi Chull,Kapoor & Sons,2016,2010s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0199,Bolna,Kapoor & Sons,2016,2010s;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0200,Buddhu Sa Mann,Kapoor & Sons,2016,2010s;Fun,Happy,Medium,Day,Hindi,curated_catalog
song_0201,Channa Mereya,Ae Dil Hai Mushkil,2016,2010s;Sad;Evergreen,Sad,Low,Night,Hindi,curated_catalog
song_0202,Bulleya,Ae Dil Hai Mushkil,2016,2010s;DJ;Rock,Intense,High,Night,Hindi,curated_catalog
song_0203,Ae Dil Hai Mushkil,Ae Dil Hai Mushkil,2016,2010s;Sad;Romantic,Sad,Medium,Night,Hindi,curated_catalog
song_0204,The Breakup Song,Ae Dil Hai Mushkil,2016,2010s;DJ;Fun,Party,High,Any,Hindi,curated_catalog
song_0205,Kabira,Yeh Jawaani Hai Deewani,2013,2010s;Travel;Sad,Reflective,Medium,Night,Hindi,curated_catalog
song_0206,Ilahi,Yeh Jawaani Hai Deewani,2013,2010s;Travel;Highway,Travel,High,Day,Hindi,curated_catalog
song_0207,Badtameez Dil,Yeh Jawaani Hai Deewani,2013,2010s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0208,Subhanallah,Yeh Jawaani Hai Deewani,2013,2010s;Romantic,Romantic,Medium,Evening,Hindi,curated_catalog
song_0209,Dilliwaali Girlfriend,Yeh Jawaani Hai Deewani,2013,2010s;DJ;Dance,Party,High,Any,Hindi,curated_catalog
song_0210,Balam Pichkari,Yeh Jawaani Hai Deewani,2013,2010s;Festival;DJ,Party,High,Any,Hindi,curated_catalog
song_0211,Phir Le Aaya Dil,Barfi!,2012,2010s;Sad;Romantic,Sad,Low,Night,Hindi,curated_catalog
song_0212,Aashiyan,Barfi!,2012,2010s;Romantic,Happy,Medium,Day,Hindi,curated_catalog
song_0213,Main Kya Karoon,Barfi!,2012,2010s;Romantic,Romantic,Low,Evening,Hindi,curated_catalog
song_0214,Sunn Raha Hai,Aashiqui 2,2013,2010s;Sad,Sad,Low,Night,Hindi,curated_catalog
song_0215,Tum Hi Ho,Aashiqui 2,2013,2010s;Romantic;Evergreen,Romantic,Low,Night,Hindi,curated_catalog
song_0216,Chahun Main Ya Naa,Aashiqui 2,2013,2010s;Romantic,Romantic,Medium,Evening,Hindi,curated_catalog
song_0217,Hum Mar Jayenge,Aashiqui 2,2013,2010s;Sad,Sad,Low,Night,Hindi,curated_catalog
song_0218,Bhula Dena,Aashiqui 2,2013,2010s;Sad,Sad,Low,Night,Hindi,curated_catalog
